id,assists,birth_date,bonus,bps,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,ep_next,ep_this,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,influence,influence_rank,minutes,own_goals,penalties_missed,penalties_order,penalties_saved,points_per_game,points_per_game_rank,red_cards,saves,saves_per_90,second_name,squad_number,starts,starts_per_90,team_join_date,threat,threat_rank,total_points,web_name,yellow_cards,position,team_name,team_short_name
737,0,1971-11-03,0,0,0,0.0,100037568,,0.0,534,,9.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unai,0,0.0,0,0.0,556,0.0,556,0,0,0,,0,0.0,566,0,0,0.0,Emery,,0,0.0,2022-11-01,0.0,485,105,Emery,0,,Aston Villa,AVL
762,2,1996-01-21,6,158,3,0.36,174292,,232.5,185,,2.0,1.8,1.16,0.14,5.59,0.68,4.43,11.11,1.35,0.54,Marco,8,0.97,3,67.2,244,200.6,311,740,0,2,,0,3.4,110,0,0,0.0,Asensio,,9,1.09,2025-02-03,242.0,143,44,M.Asensio,2,MID,Aston Villa,AVL
59,0,,0,31,1,1.07,232980,,3.2,484,,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.28,0.3,0.0,Max,0,0.0,0,1.7,514,13.2,496,84,0,0,,0,2.7,183,0,0,0.0,Aarons,,1,1.07,2023-08-10,0.0,627,8,Aarons,0,DEF,Bournemouth,BOU
60,3,1999-02-14,1,315,6,0.28,200785,,261.2,168,,2.3,2.7,0.76,0.03,2.09,0.09,1.33,29.26,1.34,0.06,Tyler,30,1.38,0,75.9,216,411.8,176,1959,0,0,,0,2.1,278,0,0,0.0,Adams,,21,0.96,2023-08-20,83.0,293,58,Adams,7,MID,Bournemouth,BOU
61,0,,0,0,0,0.0,444180,,0.0,697,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaidon,0,0.0,0,0.0,701,0.0,701,0,0,0,,0,0.0,706,0,0,0.0,Anthony,,0,0.0,,0.0,678,0,Anthony,0,MID,Bournemouth,BOU
62,1,1997-07-08,2,204,3,0.29,111317,,316.7,134,,1.3,2.0,2.02,0.19,4.6,0.44,2.58,15.03,1.44,0.25,David,12,1.15,2,80.4,201,193.6,319,941,0,0,,0,1.8,337,0,0,0.0,Brooks,,9,0.86,2018-07-01,300.0,113,52,Brooks,3,MID,Bournemouth,BOU
63,3,1995-02-22,5,435,8,0.34,158499,4.0,576.8,60,,0.0,0.0,2.9,0.12,5.04,0.21,2.14,30.17,1.28,0.09,Ryan,28,1.19,2,139.6,88,514.0,135,2114,0,0,,0,2.6,192,0,0,0.0,Christie,,27,1.15,2021-08-31,303.0,110,76,Christie,9,MID,Bournemouth,BOU
64,4,1997-02-03,3,500,5,0.15,155408,1.0,727.1,33,2.0,0.0,0.0,3.76,0.11,4.7,0.14,0.94,45.25,1.37,0.03,Lewis,44,1.33,1,144.9,80,607.0,96,2976,0,0,,0,2.3,242,1,0,0.0,Cook,,32,0.97,2016-07-08,114.0,258,82,Cook,8,MID,Bournemouth,BOU
65,1,1997-05-10,4,97,2,0.55,168636,,56.1,353,4.0,0.0,0.0,0.26,0.07,2.99,0.81,2.73,6.38,1.74,0.74,Enes,3,0.82,2,35.9,341,104.0,395,330,0,0,,0,1.9,321,0,0,0.0,Ünal,,2,0.55,2024-07-01,207.0,169,32,Enes Ünal,2,FWD,Bournemouth,BOU
66,0,,0,0,0,0.0,441240,,0.0,783,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Romain,0,0.0,0,0.0,784,0.0,784,0,0,0,,0,0.0,784,0,0,0.0,Faivre,,0,0.0,,0.0,776,0,Faivre,0,MID,Bournemouth,BOU
67,0,,0,0,0,0.0,424044,,0.0,696,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hamed,0,0.0,0,0.0,700,0.0,700,0,0,0,,0,0.0,705,0,0,0.0,Traorè,,0,0.0,,0.0,676,0,H.Traorè,0,MID,Bournemouth,BOU
68,1,2002-01-10,0,55,1,0.2,463981,,38.4,385,,0.4,0.4,0.25,0.05,0.54,0.11,0.29,8.54,1.73,0.06,James,9,1.83,0,16.6,411,97.0,403,443,0,0,,0,1.7,345,0,0,0.0,Hill,,6,1.22,2022-01-05,29.0,382,17,Hill,1,DEF,Bournemouth,BOU
69,0,2003-08-13,1,67,0,0.0,523700,,39.1,383,,2.7,2.7,0.12,0.1,1.17,1.0,1.05,2.05,1.76,0.9,Daniel,2,1.71,1,16.6,412,58.2,433,105,0,0,,0,1.2,437,0,0,0.0,Jebbison,,0,0.0,2024-07-10,70.0,310,20,Jebbison,1,FWD,Bournemouth,BOU
70,6,2003-11-07,10,550,9,0.24,544877,,642.0,46,,2.3,3.3,2.57,0.07,3.17,0.09,0.6,48.69,1.31,0.02,Milos,45,1.21,2,157.3,67,694.0,59,3336,0,0,,0,3.5,93,0,0,0.0,Kerkez,,38,1.03,2023-07-20,238.0,145,134,Kerkez,4,DEF,Bournemouth,BOU
71,6,1999-05-05,14,532,13,0.5,222683,,654.1,44,,2.0,2.3,3.66,0.14,13.71,0.53,10.05,32.6,1.25,0.39,Justin,29,1.12,12,212.0,20,700.0,58,2339,0,0,1.0,0,4.6,16,0,0,0.0,Kluivert,,29,1.12,2023-07-01,771.0,27,158,Kluivert,8,MID,Bournemouth,BOU
72,0,,0,0,0,0.0,223911,,0.0,667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris,0,0.0,0,0.0,673,0.0,673,0,0,0,,0,0.0,680,0,0,0.0,Mepham,,0,0.0,,0.0,640,0,Mepham,0,DEF,Bournemouth,BOU
74,4,2002-02-11,7,432,7,0.32,533463,,496.8,77,,0.0,0.0,3.24,0.15,11.66,0.53,8.42,31.96,1.44,0.38,Dango,23,1.04,7,187.2,46,624.6,86,1998,0,0,,0,3.5,90,0,0,0.0,Ouattara,,21,0.95,2023-01-19,754.0,29,111,O.Dango,3,MID,Bournemouth,BOU
75,0,,0,0,0,0.0,495145,,0.0,606,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,0,0.0,0,0.0,619,0.0,619,0,0,0,,0,0.0,626,0,0,0.0,Paulsen,,0,0.0,,0.0,565,0,Paulsen,0,GKP,Bournemouth,BOU
76,0,,0,52,0,0.0,168991,,102.4,295,3.0,0.0,0.0,0.97,0.5,1.52,0.78,0.55,3.35,1.71,0.28,Philip,4,2.05,0,20.4,397,54.0,438,176,0,0,,0,1.0,515,0,0,0.0,Billing,,1,0.51,2019-07-29,47.0,347,10,Philip,1,MID,Bournemouth,BOU
77,0,2003-08-21,0,132,3,0.36,503139,,171.6,229,,1.1,0.8,1.0,0.12,1.73,0.21,0.73,10.14,1.22,0.09,Alex,8,0.97,0,43.2,310,141.6,360,745,0,0,,0,1.3,422,0,0,0.0,Scott,,8,0.97,2023-08-10,118.0,254,26,Scott,3,MID,Bournemouth,BOU
78,7,2000-01-07,14,571,11,0.31,437730,,688.9,38,,4.7,6.5,4.43,0.12,13.94,0.39,9.51,44.18,1.24,0.27,Antoine,41,1.15,11,267.8,9,792.2,35,3202,0,0,,0,4.5,22,0,0,0.0,Semenyo,,36,1.01,2023-01-27,1204.0,4,165,Semenyo,9,MID,Bournemouth,BOU
79,0,1997-05-10,3,114,2,0.16,221466,,84.2,317,,1.0,2.3,0.48,0.04,1.32,0.11,0.84,14.76,1.2,0.07,Marcos,17,1.39,0,39.6,325,271.6,259,1103,0,0,,0,1.8,332,0,0,0.0,Senesi,,13,1.06,2022-08-08,39.0,357,31,Senesi,5,DEF,Bournemouth,BOU
80,1,1999-06-17,2,90,0,0.0,224995,,115.3,280,,0.0,0.0,1.29,0.51,2.47,0.97,1.18,4.08,1.6,0.46,Luis,4,1.57,1,42.3,313,112.0,384,229,0,0,,0,1.9,317,0,0,0.0,Sinisterra,,1,0.39,2024-06-14,195.0,183,23,Sinisterra,0,MID,Bournemouth,BOU
81,0,1991-04-29,0,161,6,0.34,54469,,147.2,251,,1.3,2.5,0.68,0.04,1.33,0.08,0.65,19.04,1.08,0.04,Adam,18,1.02,0,35.0,342,181.8,329,1586,0,0,,0,2.3,237,0,0,0.0,Smith,,19,1.08,2014-01-28,24.0,392,57,Smith,7,DEF,Bournemouth,BOU
83,7,1999-03-22,4,362,4,0.19,201658,2.0,664.8,42,1.0,2.7,3.5,3.65,0.17,9.16,0.43,5.51,25.42,1.18,0.26,Marcus,29,1.35,3,155.4,70,447.0,162,1932,0,0,,0,3.0,146,0,0,0.0,Tavernier,,20,0.93,2022-08-01,442.0,73,87,Tavernier,6,MID,Bournemouth,BOU
84,0,,1,76,1,0.2,229600,,0.0,668,,0.0,0.0,0.01,0.0,0.01,0.0,0.0,7.36,1.47,0.0,Mark,5,1.0,0,14.6,421,146.4,355,450,0,0,,0,3.8,59,0,20,4.0,Travers,,5,1.0,2018-07-01,0.0,642,19,Travers,0,GKP,Bournemouth,BOU
85,1,2002-09-01,8,429,8,0.23,477580,,177.0,225,,2.0,4.3,0.76,0.02,1.96,0.05,1.2,42.54,1.23,0.03,Illia,42,1.22,0,92.0,164,651.4,74,3109,0,0,,0,2.6,189,1,0,0.0,Zabarnyi,,35,1.01,2023-01-31,88.0,288,94,Zabarnyi,4,DEF,Bournemouth,BOU
152,0,1994-10-03,7,406,8,0.26,109745,,10.4,460,,2.7,3.5,0.03,0.0,0.09,0.0,0.06,38.83,1.25,0.0,Kepa,39,1.26,0,75.8,217,744.4,44,2790,0,0,,0,3.4,100,0,97,3.13,Arrizabalaga,,31,1.0,2024-08-29,4.0,464,106,Arrizabalaga,3,GKP,Bournemouth,BOU
580,2,2005-04-14,14,449,7,0.26,554605,,217.6,193,,3.0,3.7,1.57,0.06,3.39,0.13,1.82,37.44,1.39,0.07,Dean,31,1.15,3,123.6,106,826.4,29,2422,0,0,,0,3.2,127,0,0,0.0,Huijsen,,26,0.97,2024-07-30,193.0,187,104,Huijsen,10,DEF,Bournemouth,BOU
592,0,2001-08-13,0,20,0,0.0,436893,,30.6,400,,1.3,1.3,0.1,0.02,0.1,0.02,0.0,9.69,1.77,0.0,Julián,10,1.83,0,9.2,449,56.8,436,492,0,0,,0,1.0,479,0,0,0.0,Araujo Zúñiga,,7,1.28,2024-08-13,4.0,462,12,J.Araujo,2,DEF,Bournemouth,BOU
599,0,2000-07-10,0,0,0,0.0,444172,,0.0,565,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Will,0,0.0,0,0.0,584,0.0,584,0,0,0,,0,0.0,593,0,0,0.0,Dennis,,0,0.0,2019-08-01,0.0,518,0,Dennis,0,GKP,Bournemouth,BOU
617,5,1999-10-06,20,487,11,0.43,444102,,331.9,125,,3.5,3.5,1.74,0.07,14.21,0.55,12.47,26.78,1.04,0.48,Francisco Evanilson,30,1.17,10,174.8,58,456.0,158,2317,0,1,2.0,0,4.1,39,1,0,0.0,de Lima Barbosa,,28,1.09,2024-08-16,966.0,13,128,Evanilson,1,FWD,Bournemouth,BOU
680,0,2005-02-02,0,0,0,0.0,496683,,0.0,607,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,0,0.0,0,0.0,620,0.0,620,0,0,0,,0,0.0,627,0,0,0.0,Kinsey,,0,0.0,2023-02-03,0.0,566,0,Kinsey,0,DEF,Bournemouth,BOU
687,0,2004-09-04,0,14,0,0.0,606775,,0.2,522,,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.16,0.65,0.0,Ben,0,0.0,0,0.4,537,2.4,536,22,0,0,,0,1.0,505,0,0,0.0,Winterburn,,0,0.0,2024-11-29,2.0,475,4,Winterburn,0,MID,Bournemouth,BOU
702,0,2004-12-27,0,0,0,0.0,632822,,0.0,648,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archie,0,0.0,0,0.0,660,0.0,660,0,0,0,,0,0.0,667,0,0,0.0,Harris,,0,0.0,2024-12-25,0.0,611,0,Harris,0,DEF,Bournemouth,BOU
707,0,2006-03-06,0,3,0,0.0,606774,,0.0,763,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Remy,0,0.0,0,0.0,766,0.0,766,1,0,0,,0,1.0,504,0,0,0.0,Rees-Dottin,,0,0.0,2024-12-28,0.0,746,1,Rees-Dottin,0,FWD,Bournemouth,BOU
712,0,2006-10-17,0,0,0,0.0,541462,,0.0,621,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matai,0,0.0,0,0.0,633,0.0,633,0,0,0,,0,0.0,640,0,0,0.0,Akinmboni,,0,0.0,2025-01-03,0.0,582,0,Akinmboni,0,DEF,Bournemouth,BOU
713,0,2005-02-16,0,8,0,0.0,575901,,1.8,494,,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,Julio,1,10.0,0,0.4,536,2.2,538,9,0,0,,0,1.0,461,0,0,0.0,Soler,,0,0.0,2025-01-07,0.0,529,3,Soler,0,DEF,Bournemouth,BOU
722,0,2005-06-21,0,0,0,0.0,590760,,0.0,757,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel,0,0.0,0,0.0,760,0.0,760,0,0,0,,0,0.0,763,0,0,0.0,Adu-Adjei,,0,0.0,2022-12-19,0.0,740,0,Adu-Adjei,0,FWD,Bournemouth,BOU
723,0,2003-09-02,0,0,0,0.0,550596,,0.0,743,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dominic,0,0.0,0,0.0,747,0.0,747,0,0,0,,0,0.0,751,0,0,0.0,Sadi,,0,0.0,2022-08-22,0.0,727,0,Sadi,0,MID,Bournemouth,BOU
727,0,2006-12-22,0,0,0,0.0,568791,,0.0,629,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Callan,0,0.0,0,0.0,641,0.0,641,0,0,0,,0,0.0,648,0,0,0.0,McKenna,,0,0.0,2024-02-01,0.0,590,0,McKenna,0,GKP,Bournemouth,BOU
728,0,2005-07-09,0,5,0,0.0,530121,,1.0,498,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.04,3.6,0.0,Zain,0,0.0,0,0.3,541,2.0,542,1,0,0,,0,1.0,498,0,0,0.0,Silcott-Duberry,,0,0.0,2025-01-17,0.0,711,1,Silcott-Duberry,0,MID,Bournemouth,BOU
738,0,1982-06-22,0,0,0,0.0,100050427,,0.0,542,,6.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andoni,0,0.0,0,0.0,564,0.0,564,0,0,0,,0,0.0,574,0,0,0.0,Iraola,,0,0.0,2023-07-01,0.0,493,82,Iraola,0,,Bournemouth,BOU
86,0,1998-04-17,0,120,3,0.19,191866,,128.1,267,,0.0,0.2,0.48,0.03,1.45,0.09,0.97,21.7,1.36,0.06,Kristoffer,25,1.57,0,48.5,293,199.0,314,1433,0,0,,0,1.6,367,0,0,0.0,Ajer,,17,1.07,2021-07-21,158.0,214,39,Ajer,5,DEF,Brentford,BRE
87,0,,0,0,0,0.0,494041,,0.0,673,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethan,0,0.0,0,0.0,677,0.0,677,0,0,0,,0,0.0,684,0,0,0.0,Brierley,,0,0.0,,0.0,648,0,Brierley,0,MID,Brentford,BRE
88,7,2001-04-30,11,549,8,0.21,432830,,160.5,239,,5.2,4.6,1.57,0.04,4.01,0.1,2.44,56.31,1.48,0.06,Nathan,57,1.5,2,149.6,77,1023.2,7,3420,0,0,,0,3.3,114,0,0,0.0,Collins,,38,1.0,2023-07-04,311.0,106,127,Collins,5,DEF,Brentford,BRE
89,10,2000-07-03,10,611,11,0.34,440089,1.0,1006.4,6,3.0,3.2,3.0,7.01,0.22,9.92,0.31,2.91,45.6,1.41,0.09,Mikkel,41,1.27,2,205.9,27,714.8,56,2911,0,0,,0,3.4,102,0,0,0.0,Damsgaard,,34,1.05,2022-08-10,338.0,100,131,Damsgaard,2,MID,Brentford,BRE
90,0,1998-10-23,0,0,0,0.0,183656,,0.0,769,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh,0,0.0,0,0.0,772,0.0,772,0,0,0,,0,0.0,773,0,0,0.0,Dasilva,,0,0.0,2018-08-21,0.0,757,0,Dasilva,0,MID,Brentford,BRE
91,2,1993-06-13,12,584,7,0.19,118342,,30.3,403,,6.2,5.6,0.11,0.0,0.11,0.0,0.0,54.82,1.51,0.0,Mark,55,1.51,0,132.5,96,1298.4,2,3275,0,0,,0,3.7,69,0,153,4.2,Flekken,,37,1.02,2023-07-01,0.0,664,138,Flekken,1,GKP,Brentford,BRE
92,0,1997-07-08,0,5,0,0.0,194010,,2.1,491,,0.5,0.4,0.01,0.01,0.01,0.01,0.0,2.16,2.07,0.0,Rico,3,2.87,0,1.7,513,13.6,495,94,0,0,,0,0.8,539,0,0,0.0,Henry,,0,0.0,2016-08-31,2.0,472,4,Henry,0,DEF,Brentford,BRE
93,0,2002-06-10,0,0,0,0.0,472713,,0.0,661,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,0,0.0,0,0.0,667,0.0,667,0,0,0,,0,0.0,674,0,0,0.0,Hickey,,0,0.0,2022-07-09,0.0,630,0,Hickey,0,DEF,Brentford,BRE
94,3,1998-05-10,2,384,6,0.24,204580,,284.2,155,,0.0,0.0,2.38,0.1,3.21,0.13,0.83,37.37,1.49,0.03,Vitaly,38,1.52,1,77.2,209,356.6,206,2251,2,0,,0,2.3,239,0,0,0.0,Janelt,,27,1.08,2020-10-03,131.0,239,73,Janelt,3,MID,Brentford,BRE
95,2,1996-01-01,1,179,2,0.21,207283,3.0,249.5,176,,1.0,1.0,1.75,0.19,1.98,0.21,0.23,16.41,1.75,0.02,Mathias,17,1.81,0,43.8,308,157.0,344,846,0,0,,0,1.6,377,0,0,0.0,Jensen,,8,0.85,2019-07-10,32.0,378,38,Jensen,2,MID,Brentford,BRE
96,0,2004-12-24,0,8,0,0.0,570241,,0.8,501,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.03,0.0,Kim,0,0.0,0,0.6,531,5.0,518,28,0,0,,0,1.0,460,0,0,0.0,Ji-soo,,0,0.0,2023-07-20,0.0,528,3,Ji-soo,0,DEF,Brentford,BRE
97,0,2006-01-10,0,30,0,0.0,628204,,4.5,479,,0.5,0.4,0.0,0.0,0.15,0.25,0.15,1.79,3.04,0.25,Yunus Emre,2,3.4,0,1.2,522,8.0,508,53,0,0,,0,1.0,490,0,0,0.0,Konak,,0,0.0,2024-01-11,3.0,467,10,Konak,0,MID,Brentford,BRE
98,5,2001-02-22,0,460,8,0.23,249231,,462.2,84,4.0,1.5,1.6,4.94,0.14,7.9,0.23,2.96,50.62,1.47,0.09,Keane,49,1.43,1,139.9,87,542.0,122,3092,0,0,,0,2.5,213,0,0,0.0,Lewis-Potter,,36,1.05,2022-07-12,391.0,87,94,Lewis-Potter,7,MID,Brentford,BRE
99,9,1999-08-07,29,948,9,0.24,446008,2.0,1107.5,5,2.0,4.5,5.2,9.24,0.24,21.75,0.57,12.52,55.4,1.46,0.33,Bryan,55,1.45,20,340.8,2,1236.8,3,3415,0,1,2.0,0,6.2,2,0,0,0.0,Mbeumo,,38,1.0,2019-08-05,1060.0,8,236,Mbeumo,3,MID,Brentford,BRE
100,0,1989-09-21,0,30,1,0.5,51927,,3.0,485,,0.0,0.0,0.02,0.01,0.02,0.01,0.0,2.71,1.36,0.0,Ben,4,2.0,0,4.6,486,36.8,454,180,0,0,,0,1.3,420,0,0,0.0,Mee,,2,1.0,2022-07-21,6.0,447,9,Mee,2,DEF,Brentford,BRE
101,5,1994-03-10,7,580,6,0.19,128295,,333.0,123,,3.2,4.2,1.38,0.04,5.61,0.18,4.23,44.54,1.42,0.14,Christian,45,1.44,5,147.9,79,735.4,48,2820,0,0,,0,3.1,136,1,0,0.0,Nørgaard,,34,1.09,2019-07-01,409.0,81,107,Nørgaard,8,MID,Brentford,BRE
102,0,,0,3,0,0.0,428580,,0.5,505,,0.0,0.0,0.02,0.08,0.02,0.08,0.0,0.69,2.7,0.0,Frank,0,0.0,0,0.0,778,0.0,778,23,0,0,,0,1.0,520,0,0,0.0,Onyeka,,0,0.0,,0.0,766,2,Onyeka,0,MID,Brentford,BRE
103,0,,0,0,0,0.0,450539,,0.0,699,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Myles,0,0.0,0,0.0,703,0.0,703,0,0,0,,0,0.0,708,0,0,0.0,Peart-Harris,,0,0.0,,0.0,680,0,Peart-Harris,0,MID,Brentford,BRE
104,0,1993-05-29,0,233,2,0.09,231065,,101.2,298,,0.0,0.0,0.64,0.03,1.72,0.08,1.08,34.33,1.62,0.05,Ethan,35,1.65,2,83.6,190,540.2,123,1912,1,0,,0,2.1,268,0,0,0.0,Pinnock,,21,0.99,2019-07-02,193.0,186,47,Pinnock,2,DEF,Brentford,BRE
105,2,,0,125,2,0.16,226956,,185.8,218,,0.0,0.0,2.09,0.17,2.29,0.19,0.2,21.52,1.76,0.02,Mads,20,1.64,0,48.0,295,214.4,296,1100,0,0,,0,1.9,311,0,0,0.0,Roerslev Rasmussen,,11,0.9,2019-10-27,78.0,299,36,Roerslev,2,DEF,Brentford,BRE
106,4,2001-11-27,12,498,10,0.39,513418,,312.7,136,,8.8,7.4,1.75,0.07,10.2,0.4,8.45,30.66,1.21,0.33,Kevin,34,1.34,11,183.3,50,630.8,79,2281,0,0,,0,3.9,54,0,0,0.0,Schade,,26,1.03,2023-07-01,892.0,19,149,Schade,3,MID,Brentford,BRE
107,0,2001-06-26,0,32,0,0.0,502500,,30.6,401,,0.8,0.8,0.04,0.02,0.17,0.09,0.13,3.54,1.91,0.07,Igor Thiago,4,2.16,0,5.8,476,18.2,487,167,0,0,,0,1.1,452,0,0,0.0,Nascimento Rodrigues,,1,0.54,2024-07-01,12.0,430,9,Thiago,0,FWD,Brentford,BRE
108,0,,0,0,0,0.0,144485,,0.0,804,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivan,0,0.0,0,0.0,804,0.0,804,0,0,0,,0,0.0,803,0,0,0.0,Toney,,0,0.0,,0.0,804,0,Toney,0,FWD,Brentford,BRE
109,0,2001-10-13,0,14,0,0.0,507433,,0.1,525,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.93,0.0,Hákon,2,1.25,0,2.1,506,21.4,480,144,0,0,,0,1.0,458,0,3,1.88,Valdimarsson,,1,0.62,2024-01-26,0.0,523,2,Valdimarsson,0,GKP,Brentford,BRE
110,6,1996-09-03,32,739,9,0.28,216646,,400.0,102,,6.2,5.2,2.2,0.07,20.77,0.64,18.58,45.12,1.39,0.57,Yoane,45,1.39,18,242.4,12,849.4,22,2921,0,0,4.0,0,5.3,9,0,0,0.0,Wissa,,34,1.05,2021-08-10,1181.0,5,185,Wissa,5,FWD,Brentford,BRE
111,0,2004-03-01,0,255,3,0.19,508395,,196.1,211,,2.0,2.0,0.91,0.06,1.53,0.1,0.62,26.43,1.66,0.04,Yehor,25,1.57,0,54.4,284,259.6,266,1435,0,0,,0,1.4,406,0,0,0.0,Yarmoliuk,,15,0.94,2022-10-28,89.0,287,43,Yarmoliuk,6,MID,Brentford,BRE
112,0,,0,0,0,0.0,48760,,0.0,681,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathias,0,0.0,0,0.0,686,0.0,686,0,0,0,,0,0.0,691,0,0,0.0,Jorgensen,,0,0.0,,0.0,658,0,Zanka,0,DEF,Brentford,BRE
314,1,2002-08-30,1,127,0,0.0,244858,4.0,71.5,333,,0.0,0.0,0.54,0.11,3.03,0.62,2.49,11.46,2.33,0.51,Fábio,14,2.84,2,36.3,338,142.2,358,443,0,0,,0,1.8,331,0,0,0.0,Freitas Gouveia Carvalho,,3,0.61,2024-08-12,154.0,219,35,Carvalho,1,MID,Brentford,BRE
338,1,2001-12-20,1,266,5,0.17,444765,,108.3,289,,3.2,3.0,0.52,0.02,2.61,0.09,2.09,44.61,1.55,0.07,Sepp,49,1.71,0,92.3,162,587.4,106,2584,0,0,,0,2.0,290,0,0,0.0,van den Berg,,29,1.01,2024-08-22,226.0,156,62,Van den Berg,3,DEF,Brentford,BRE
602,0,,0,5,0,0.0,591357,,0.1,527,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan,0,0.0,0,0.3,540,2.6,535,3,0,0,,0,1.0,489,0,0,0.0,Trevitt,,0,0.0,2024-01-08,0.0,656,1,Trevitt,0,MID,Brentford,BRE
634,0,2005-11-20,0,11,0,0.0,626464,,0.3,518,,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.35,2.86,0.0,Gustavo,2,16.36,0,1.2,523,10.0,501,11,0,0,,0,1.0,522,0,0,0.0,Nunes Fernandes Gomes,,0,0.0,2024-08-28,2.0,476,3,G.Nunes,0,MID,Brentford,BRE
649,0,,0,3,0,0.0,499717,,0.3,510,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.15,0.0,Jayden,0,0.0,0,0.1,548,0.2,548,4,0,0,,0,1.0,467,0,0,0.0,Meghoma,,0,0.0,2024-08-30,0.0,568,1,Meghoma,0,DEF,Brentford,BRE
661,0,,0,0,0,0.0,592662,,0.0,759,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tony,0,0.0,0,0.0,762,0.0,762,0,0,0,,0,0.0,765,0,0,0.0,Yogane,,0,0.0,2024-07-19,0.0,742,0,Yogane,0,MID,Brentford,BRE
674,0,2001-05-08,0,32,0,0.0,220695,,15.8,440,,0.0,0.0,0.04,0.03,0.16,0.13,0.12,1.89,1.52,0.1,Paris,1,0.8,0,5.4,478,27.8,466,112,0,0,,0,1.0,491,0,0,0.0,Maghoma,,0,0.0,2020-08-01,10.0,435,8,Maghoma,0,MID,Brentford,BRE
705,0,2005-10-09,0,0,0,0.0,622536,,0.0,646,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benjamin,0,0.0,0,0.0,658,0.0,658,0,0,0,,0,0.0,665,0,0,0.0,Arthur,,0,0.0,2024-03-08,0.0,609,0,Arthur,0,DEF,Brentford,BRE
752,0,1973-10-09,0,0,0,0.0,100042830,,0.0,536,,10.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thomas,0,0.0,0,0.0,558,0.0,558,0,0,0,,0,0.0,568,0,0,0.0,Frank,,0,0.0,2018-10-16,0.0,487,116,Frank,0,,Brentford,BRE
757,1,2004-07-10,0,115,2,0.34,607464,,105.2,291,,4.5,4.0,0.7,0.12,0.89,0.15,0.19,6.66,1.15,0.03,Michael,5,0.86,0,24.2,381,105.2,393,523,0,0,,0,2.2,254,0,0,0.0,Kayode,,6,1.03,2025-01-24,30.0,380,27,Kayode,2,DEF,Brentford,BRE
759,0,2006-04-21,0,0,0,0.0,535017,,0.0,618,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Julian,0,0.0,0,0.0,630,0.0,630,0,0,0,,0,0.0,637,0,0,0.0,Eyestone,,0,0.0,2024-08-08,0.0,579,0,Eyestone,0,GKP,Brentford,BRE
